package, guess, num_versions, num_parsed_versions, breaking_versions
3d-graphics-examples, Unknown, 3, 0, 
3dmodels, Unknown, 1, 0, 
4Blocks, Unknown, 2, 0, 
AAI, PVP, 3, 2, 0.2.0.0
ABList, Unknown, 3, 2, 
AC-Angle, Unknown, 1, 0, 
AC-Boolean, PVP, 2, 1, 1.1.0
AC-BuildPlatform, PVP, 2, 1, 1.1.0
AC-Colour, Unknown, 6, 4, 1.1.3, 1.1.5
AC-EasyRaster-GTK, Unknown, 3, 0, 
AC-HalfInteger, Unknown, 2, 1, 1.2.1
AC-MiniTest, Unknown, 1, 0, 
AC-PPM, Unknown, 1, 0, 
AC-Random, Unknown, 1, 0, 
AC-Terminal, Unknown, 1, 0, 
AC-VanillaArray, Unknown, 2, 1, 
AC-Vector, PVP, 10, 9, 1.2.1, 2.0.0, 2.2.0, 2.3.0, 2.3.1
AC-Vector-Fancy, PVP, 6, 5, 2.2.0, 2.3.0, 2.4.0
ACME, Unknown, 2, 1, 
ADPfusion, PVP, 18, 6, 0.1.0.0, 0.4.1.0
AERN-Basics, Unknown, 2, 0, 
AERN-Net, Unknown, 3, 2, 0.2.1
AERN-Real, PVP, 19, 14, 0.9.3, 0.9.4, 0.9.5, 0.9.6, 0.9.7, 0.9.9, 0.10.0
AERN-Real-Double, Unknown, 3, 0, 
AERN-Real-Interval, Unknown, 2, 0, 
AERN-RnToRm, PVP, 11, 4, 0.5
AERN-RnToRm-Plot, Unknown, 7, 0, 
AES, PVP, 14, 13, 0.2.0, 0.2.7
AFSM, Unknown, 8, 1, 0.1.2.0
AGI, PVP, 7, 4, 1.2, 1.3
ALUT, PVP, 11, 7, 2.4.0.0, 2.4.0.1
AMI, Unknown, 1, 0, 
ANum, Unknown, 2, 0, 
ASN1, Unknown, 2, 0, 
AVar, Unknown, 6, 4, 0.0.4
AWin32Console, Unknown, 1, 0, 
AbortT-monadstf, Unknown, 1, 0, 
AbortT-mtl, Unknown, 2, 1, 1.0.0.1
AbortT-transformers, Unknown, 5, 4, 1.0.1.2
ActionKid, Unknown, 2, 0, 
Adaptive, PVP, 3, 2, 0.22
Adaptive-Blaisorblade, Unknown, 1, 0, 
Advgame, Unknown, 3, 0, 
AesonBson, Unknown, 3, 0, 
Agata, Unknown, 5, 3, 0.2.0.1, 0.2.1, 0.2.1.1
Agda, Unknown, 24, 3, 2.2.8, 2.2.10, 2.4.2
Agda-executable, Unknown, 8, 0, 
AhoCorasick, Unknown, 3, 2, 0.0.3
AlanDeniseEricLauren, Unknown, 2, 0, 
AlgorithmW, Unknown, 5, 0, 
AlignmentAlgorithms, Unknown, 4, 3, 0.0.1.2, 0.0.2.0, 0.0.2.1
Allure, Unknown, 16, 0, 
AndroidViewHierarchyImporter, Unknown, 2, 0, 
Animas, Unknown, 2, 1, 
Annotations, Unknown, 7, 0, 
Ansi2Html, Unknown, 2, 0, 
ApplePush, Unknown, 1, 0, 
AppleScript, Unknown, 6, 1, 
ApproxFun-hs, Unknown, 1, 0, 
ArrayRef, Unknown, 4, 0, 
ArrowVHDL, Unknown, 2, 0, 
AspectAG, PVP, 17, 9, 0.2, 0.3, 0.3.3, 0.3.5, 0.3.6
AttoBencode, Unknown, 5, 4, 
AttoJson, Unknown, 9, 8, 0.5.2, 0.5.8
Attrac, Unknown, 4, 0, 
Aurochs, Unknown, 1, 0, 
AutoForms, Unknown, 2, 0, 
AvlTree, PVP, 7, 6, 3.0, 3.1, 4.0, 4.2
BASIC, Unknown, 7, 6, 0.1.1.0
BCMtools, Unknown, 2, 0, 
BNFC, Unknown, 14, 5, 2.7.0.1, 2.8.1
BNFC-meta, Unknown, 19, 2, 0.2.1, 0.2.2
Baggins, Unknown, 1, 0, 
Bang, Unknown, 8, 0, 
Barracuda, Unknown, 1, 0, 
Befunge93, Unknown, 1, 0, 
BenchmarkHistory, Unknown, 2, 1, 0.0.0.2
BerkeleyDB, PVP, 15, 9, 0.7, 0.7.1, 0.8.1, 0.8.2, 0.8.6
BerkeleyDBXML, Unknown, 11, 0, 
BerlekampAlgorithm, Unknown, 1, 0, 
BiGUL, Unknown, 3, 0, 
BigPixel, Unknown, 4, 0, 
Binpack, PVP, 4, 2, 0.4
BioHMM, Unknown, 2, 0, 
Biobase, Unknown, 6, 3, 0.0.2.1
BiobaseBlast, Unknown, 1, 0, 
BiobaseDotP, Unknown, 1, 0, 
BiobaseFR3D, Unknown, 5, 4, 0.1.3.0, 0.2.2.0, 0.2.3.0
BiobaseFasta, Unknown, 5, 3, 0.0.0.2, 0.0.0.4
BiobaseInfernal, PVP, 15, 9, 0.5.0.0, 0.5.1.0, 0.5.4.0, 0.5.4.1, 0.6.2.0
BiobaseMAF, Unknown, 1, 0, 
BiobaseNewick, Unknown, 1, 0, 
BiobaseTrainingData, Unknown, 5, 4, 
BiobaseTurner, PVP, 13, 9, 0.1.0.0, 0.2.0.0, 0.2.2.0
BiobaseTypes, Unknown, 5, 2, 0.1.2.0
BiobaseVienna, PVP, 11, 8, 0.2.0.0, 0.2.2.0, 0.3.0.0
BiobaseXNA, PVP, 29, 20, 0.5.0.1, 0.6.0.0, 0.6.2.0, 0.6.3.0, 0.7.0.0, 0.8.3.0, 0.9.3.0
BirdPP, Unknown, 2, 0, 
BitStringRandomMonad, Unknown, 2, 1, 0.1.1.1
BitSyntax, Unknown, 4, 1, 0.3.2.1
Bitly, Unknown, 9, 5, 
BlastHTTP, Unknown, 5, 1, 1.2.1
Blobs, Unknown, 3, 0, 
BlogLiterately, Unknown, 50, 2, 0.5.2
BlogLiterately-diagrams, Unknown, 22, 7, 
BluePrintCSS, Unknown, 1, 0, 
Blueprint, Unknown, 1, 0, 
Bookshelf, Unknown, 11, 0, 
Boolean, Unknown, 9, 0, 
BoundedChan, Unknown, 7, 6, 
Bravo, Unknown, 2, 0, 
BufferedSocket, PVP, 4, 3, 0.2.0.0, 0.2.1.0
Buster, Unknown, 2, 0, 
CBOR, Unknown, 2, 0, 
CC-delcont, Unknown, 3, 1, 0.2.1.0
CC-delcont-alt, Unknown, 4, 0, 
CC-delcont-cxe, Unknown, 3, 1, 
CC-delcont-exc, Unknown, 1, 0, 
CC-delcont-ref, Unknown, 1, 0, 
CC-delcont-ref-tf, Unknown, 3, 2, 
CCA, Unknown, 8, 3, 0.1.3, 0.1.5.3
CHXHtml, Unknown, 6, 0, 
CLASE, Unknown, 4, 0, 
CLI, Unknown, 1, 0, 
CMCompare, Unknown, 4, 1, 
CMQ, Unknown, 1, 0, 
COrdering, PVP, 3, 2, 2.3
CPBrainfuck, Unknown, 2, 0, 
CPL, Unknown, 4, 0, 
CSPM-CoreLanguage, Unknown, 7, 6, 0.1.0.2
CSPM-FiringRules, Unknown, 6, 5, 0.3.0.3, 0.4.1.2, 0.4.3.0
CSPM-Frontend, PVP, 12, 11, 0.2.10.2, 0.3.0.3, 0.4.0.0, 0.6.8.0, 0.7.4.4, 0.9.0.6, 0.10.0.0
CSPM-Interpreter, PVP, 10, 9, 0.3.0.0, 0.4.4.1, 0.5.1.0
CSPM-ToProlog, PVP, 5, 4, 0.5.0.0, 0.5.2.0
CSPM-cspm, Unknown, 10, 3, 0.6.0.4
CTRex, Unknown, 2, 0, 
CV, Unknown, 12, 0, 
Cabal, PVP, 50, 20, 1.8.0.6, 1.10.0.0, 1.10.1.0, 1.18.1.4, 1.18.1.5, 1.20.0.1, 1.20.0.3, 1.22.1.0, 1.22.2.0, 1.22.4.0
Cabal-ide-backend, Unknown, 1, 0, 
CabalSearch, Unknown, 2, 0, 
Capabilities, Unknown, 1, 0, 
Cardinality, PVP, 2, 1, 0.2
CarneadesDSL, Unknown, 6, 0, 
CarneadesIntoDung, Unknown, 2, 0, 
Cartesian, PVP, 6, 2, 0.2.0.0
Cascade, Unknown, 1, 0, 
Catana, PVP, 3, 2, 0.2, 0.3
ChannelT, Unknown, 2, 1, 
Chart, PVP, 38, 3, 1.7.1, 1.8, 1.8.1
Chart-cairo, Unknown, 19, 2, 
Chart-diagrams, PVP, 19, 7, 1.6, 1.7, 1.8
Chart-gtk, Unknown, 21, 13, 
Chart-simple, Unknown, 8, 3, 
ChasingBottoms, PVP, 20, 3, 1.3.0, 1.3.0.1
CheatSheet, Unknown, 22, 0, 
Checked, Unknown, 2, 0, 
Chitra, Unknown, 4, 0, 
ChristmasTree, Unknown, 8, 4, 0.1.1, 0.2.1.1
CirruParser, Unknown, 1, 0, 
ClassLaws, Unknown, 4, 3, 
ClassyPrelude, Unknown, 1, 0, 
Clean, Unknown, 3, 0, 
Clipboard, Unknown, 10, 4, 
ClustalParser, Unknown, 9, 8, 1.0.1, 1.1.4
Coadjute, Unknown, 3, 1, 
Codec-Compression-LZF, Unknown, 1, 0, 
Codec-Image-DevIL, Unknown, 5, 4, 
Combinatorrent, Unknown, 6, 0, 
Command, Unknown, 6, 5, 0.0.4, 0.0.5, 0.0.6
Commando, Unknown, 4, 1, 
ComonadSheet, Unknown, 1, 0, 
Concurrent-Cache, PVP, 9, 8, 0.2.0.0
ConcurrentUtils, Unknown, 6, 0, 
Concurrential, PVP, 6, 3, 0.2.1.0, 0.5.0.0
Condor, Unknown, 3, 0, 
ConfigFile, Unknown, 10, 5, 1.0.6, 1.1.4
ConfigFileTH, Unknown, 2, 0, 
Configger, Unknown, 1, 0, 
Configurable, Unknown, 1, 0, 
ConsStream, Unknown, 1, 0, 
Conscript, Unknown, 1, 0, 
ConstraintKinds, PVP, 7, 6, 1.1.0.0, 1.3.0
Consumer, Unknown, 1, 0, 
ContArrow, Unknown, 5, 0, 
ContextAlgebra, Unknown, 4, 0, 
Contract, Unknown, 1, 0, 
Control-Engine, SemVer, 9, 8, 0.0.4, 0.0.6, 1.0.0.0, 1.1.0.1
Control-Monad-MultiPass, Unknown, 1, 0, 
Control-Monad-ST2, Unknown, 1, 0, 
CoreDump, Unknown, 4, 3, 
